onset,duration,description
2025-12-02 11:54:15.179026,0.0,enc_act1
2025-12-02 11:54:16.242026,0.0,enc_act2
2025-12-02 11:54:17.305026,0.0,enc_act3
2025-12-02 11:54:18.368026,0.0,enc_target
2025-12-02 11:54:20.361026,0.0,enc_prompt
2025-12-02 11:54:22.980026,0.0,enc_resp
2025-12-02 11:54:22.984026,0.0,enc_fixation
2025-12-02 11:54:24.031026,0.0,enc_cue
2025-12-02 11:54:26.086026,0.0,enc_act1
2025-12-02 11:54:27.142026,0.0,enc_act2
2025-12-02 11:54:28.197026,0.0,enc_act3
2025-12-02 11:54:29.252026,0.0,enc_target
2025-12-02 11:54:31.243026,0.0,enc_prompt
2025-12-02 11:54:33.271026,0.0,enc_resp
2025-12-02 11:54:33.276026,0.0,enc_fixation
2025-12-02 11:54:34.322026,0.0,enc_cue
2025-12-02 11:54:36.378026,0.0,enc_act1
2025-12-02 11:54:37.434026,0.0,enc_act2
2025-12-02 11:54:38.489026,0.0,enc_act3
2025-12-02 11:54:39.545026,0.0,enc_target
2025-12-02 11:54:41.535026,0.0,enc_prompt
2025-12-02 11:54:43.827026,0.0,enc_resp
2025-12-02 11:54:43.832026,0.0,enc_fixation
2025-12-02 11:54:44.879026,0.0,enc_cue
2025-12-02 11:54:46.933026,0.0,enc_act1
2025-12-02 11:54:47.990026,0.0,enc_act2
2025-12-02 11:54:49.043026,0.0,enc_act3
2025-12-02 11:54:50.101026,0.0,enc_target
2025-12-02 11:54:52.090026,0.0,enc_prompt
2025-12-02 11:54:54.597026,0.0,enc_resp
2025-12-02 11:54:54.602026,0.0,enc_fixation
2025-12-02 11:54:55.649026,0.0,enc_cue
2025-12-02 11:54:57.706026,0.0,enc_act1
2025-12-02 11:54:58.768026,0.0,enc_act2
2025-12-02 11:54:59.823026,0.0,enc_act3
2025-12-02 11:55:00.879026,0.0,enc_target
2025-12-02 11:55:02.875026,0.0,enc_prompt
2025-12-02 11:55:05.118026,0.0,enc_resp
2025-12-02 11:55:05.124026,0.0,enc_fixation
2025-12-02 11:55:06.169026,0.0,enc_cue
2025-12-02 11:55:08.227026,0.0,enc_act1
2025-12-02 11:55:09.288026,0.0,enc_act2
2025-12-02 11:55:10.344026,0.0,enc_act3
2025-12-02 11:55:11.399026,0.0,enc_target
2025-12-02 11:55:13.396026,0.0,enc_prompt
2025-12-02 11:55:15.347026,0.0,enc_resp
2025-12-02 11:55:15.353026,0.0,enc_fixation
2025-12-02 11:55:16.399026,0.0,enc_cue
2025-12-02 11:55:18.454026,0.0,enc_act1
2025-12-02 11:55:19.511026,0.0,enc_act2
2025-12-02 11:55:20.573026,0.0,enc_act3
2025-12-02 11:55:21.635026,0.0,enc_target
2025-12-02 11:55:23.624026,0.0,enc_prompt
2025-12-02 11:55:25.375026,0.0,enc_resp
2025-12-02 11:55:25.380026,0.0,enc_fixation
2025-12-02 11:55:26.427026,0.0,enc_cue
2025-12-02 11:55:28.484026,0.0,enc_act1
2025-12-02 11:55:29.055053,1.665285832642894,BAD_muscle
2025-12-02 11:55:29.546026,0.0,enc_act2
2025-12-02 11:55:30.611026,0.0,enc_act3
2025-12-02 11:55:31.671026,0.0,enc_target
2025-12-02 11:55:33.666026,0.0,enc_prompt
2025-12-02 11:55:36.486026,0.0,enc_resp
2025-12-02 11:55:36.490026,0.0,enc_fixation
2025-12-02 11:55:37.542026,0.0,enc_cue
2025-12-02 11:55:39.605026,0.0,enc_act1
2025-12-02 11:55:40.666026,0.0,enc_act2
2025-12-02 11:55:41.730026,0.0,enc_act3
2025-12-02 11:55:42.792026,0.0,enc_target
2025-12-02 11:55:44.784026,0.0,enc_prompt
2025-12-02 11:55:48.360026,0.0,enc_resp
2025-12-02 11:55:48.365026,0.0,enc_fixation
2025-12-02 11:55:49.416026,0.0,enc_cue
2025-12-02 11:55:51.478026,0.0,enc_act1
2025-12-02 11:55:52.542026,0.0,enc_act2
2025-12-02 11:55:53.603026,0.0,enc_act3
2025-12-02 11:55:54.665026,0.0,enc_target
2025-12-02 11:55:56.659026,0.0,enc_prompt
2025-12-02 11:55:58.069026,0.0,enc_resp
2025-12-02 11:55:58.073026,0.0,enc_fixation
2025-12-02 11:55:59.119026,0.0,enc_cue
2025-12-02 11:56:01.178026,0.0,enc_act1
2025-12-02 11:56:02.238026,0.0,enc_act2
2025-12-02 11:56:03.293026,0.0,enc_act3
2025-12-02 11:56:04.347026,0.0,enc_target
2025-12-02 11:56:06.339026,0.0,enc_prompt
2025-12-02 11:56:09.776026,0.0,enc_resp
2025-12-02 11:56:09.781026,0.0,enc_fixation
2025-12-02 11:56:10.830026,0.0,enc_cue
2025-12-02 11:56:12.891026,0.0,enc_act1
2025-12-02 11:56:13.946026,0.0,enc_act2
2025-12-02 11:56:15.003026,0.0,enc_act3
2025-12-02 11:56:16.064026,0.0,enc_target
2025-12-02 11:56:18.054026,0.0,enc_prompt
2025-12-02 11:56:20.526026,0.0,enc_resp
2025-12-02 11:56:20.531026,0.0,enc_fixation
2025-12-02 11:56:21.576026,0.0,enc_cue
2025-12-02 11:56:23.633026,0.0,enc_act1
2025-12-02 11:56:24.687026,0.0,enc_act2
2025-12-02 11:56:25.744026,0.0,enc_act3
2025-12-02 11:56:26.799026,0.0,enc_target
2025-12-02 11:56:28.790026,0.0,enc_prompt
2025-12-02 11:56:30.860026,0.0,enc_resp
2025-12-02 11:56:30.865026,0.0,enc_fixation
2025-12-02 11:56:31.909026,0.0,enc_cue
2025-12-02 11:56:33.965026,0.0,enc_act1
2025-12-02 11:56:35.021026,0.0,enc_act2
2025-12-02 11:56:36.078026,0.0,enc_act3
2025-12-02 11:56:37.132026,0.0,enc_target
2025-12-02 11:56:39.123026,0.0,enc_prompt
2025-12-02 11:56:41.519026,0.0,enc_resp
2025-12-02 11:56:41.524026,0.0,enc_fixation
2025-12-02 11:56:42.573026,0.0,enc_cue
2025-12-02 11:56:44.634026,0.0,enc_act1
2025-12-02 11:56:45.691026,0.0,enc_act2
2025-12-02 11:56:46.752026,0.0,enc_act3
